SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
0.09601599999999999,0.074997,0.088093,0.022739,0.016886,0.018288
0.092371,0.076297,0.077058,0.026513,0.050613,0.051456
-0.005607,0.004503,0.003634,-0.005508,-0.007947,-0.008824
0.06221,0.047026000000000005,0.059459,0.037261,0.01758,0.044052
-0.021006,-0.021947,-0.028617,-0.034843,-0.040345000000000006,-0.007108
-0.00507,0.002073,0.01646,0.000135,0.013017,0.005452
0.10174200000000001,0.067453,0.08657,0.023621,0.034285,0.022503000000000002
0.029461,-0.001534,-0.00406,-0.009376,-0.031466,-0.068213
-0.059882,-0.049371,-0.06332,-0.029683,-0.027371,-0.029394
-0.002643,-0.019391000000000002,-0.009386,-0.002585,-0.007442,0.025144000000000003
0.16002400000000003,0.11691499999999999,0.168045,0.062875,0.073012,0.10872299999999999
0.094858,0.082333,0.08931900000000001,0.011145,0.008323,0.025365000000000002
0.0049180000000000005,0.012984,0.006520000000000001,0.024992,0.022526,-0.00486
-0.023978000000000003,-0.030486,-0.047351000000000004,-0.003609,-0.002654,-0.042915999999999996
0.042007,0.030671,0.042367999999999996,0.025001000000000002,0.013536999999999999,0.010637
0.083347,0.057266000000000004,0.075312,0.063022,0.037134,0.031258
0.0032979999999999997,0.011498999999999999,0.007465,0.022930000000000002,0.018396,-0.007571
0.07732,0.077652,0.078609,0.05143,0.054759,0.058829
0.015561,-0.013269999999999999,-0.007596,-0.033159999999999995,-0.037291,-0.04729
-0.0075970000000000005,-0.008084000000000001,-0.022233,-0.003487,0.002002,-0.019833
-0.10681800000000001,-0.076642,-0.084765,-0.05837,-0.046556,-0.039048
0.03826,0.023558,0.025674000000000002,0.048639999999999996,0.027347999999999997,0.032725
0.018784000000000002,0.010912,0.005868,0.007705,0.022675999999999998,0.028725
0.00504,0.005749,-0.005857,0.005967,0.008137,-0.002114
-0.126853,-0.10950100000000001,-0.107659,-0.096908,-0.064038,-0.029625
-0.10321799999999999,-0.08673700000000001,-0.101704,-0.079078,-0.059810999999999996,-0.051023
